customer_id,count_x,gender,age,under_30,senior_citizen,married,dependents,number_of_dependents,count_y,quarter,referred_a_friend,number_of_referrals,tenure_in_months,offer,phone_service,avg_monthly_long_distance_charges,multiple_lines,internet_service,internet_type,avg_monthly_gb_download,online_security,online_backup,online_backup.1,device_protection_plan,premium_tech_support,streaming_tv,streaming_movies,streaming_music,unlimited_data,contract,paperless_billing,payment_method,monthly_charge,total_charges,total_refunds,total_extra_data_charges,total_long_distance_charges,total_revenue
8779QRDMV,1,Male,78,No,Yes,No,No,0,1,Q3,No,0,1,No Offer,No,0.0,,Yes,DSL,8.0,No,No,No,Yes,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,39.65,39.65,0.0,20,0.0,59.65
7495OOKFY,1,Female,74,No,Yes,Yes,Yes,1,1,Q3,Yes,1,8,Offer E,Yes,48.85,Yes,Yes,Fiber Optic,17.0,No,Yes,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,80.65,633.3,0.0,0,390.8,1024.1
1658BYGOY,1,Male,71,No,Yes,No,Yes,3,1,Q3,No,0,18,Offer D,Yes,11.33,Yes,Yes,Fiber Optic,52.0,No,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,95.45,1752.55,45.61,0,203.94,1910.88
4598XLKNJ,1,Female,78,No,Yes,Yes,Yes,1,1,Q3,Yes,1,25,Offer C,Yes,19.76,No,Yes,Fiber Optic,12.0,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,98.5,2514.5,13.43,0,494.0,2995.07
4846WHAFZ,1,Female,80,No,Yes,Yes,Yes,1,1,Q3,Yes,1,37,Offer C,Yes,6.33,Yes,Yes,Fiber Optic,14.0,No,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,76.5,2868.15,0.0,0,234.21,3102.36
4412YLTKF,1,Female,72,No,Yes,No,Yes,1,1,Q3,No,0,27,Offer C,Yes,3.33,Yes,Yes,Fiber Optic,18.0,No,No,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,78.05,2135.5,0.0,10,89.91,2235.41
0390DCFDQ,1,Female,76,No,Yes,Yes,Yes,2,1,Q3,Yes,1,1,Offer E,Yes,15.28,No,Yes,Fiber Optic,30.0,No,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,70.45,70.45,0.0,0,15.28,85.73
3445HXXGF,1,Male,66,No,Yes,Yes,No,0,1,Q3,Yes,6,58,Offer B,No,0.0,,Yes,DSL,24.0,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,45.3,2651.2,40.95,0,0.0,2610.25
2656FMOKZ,1,Female,70,No,Yes,No,Yes,2,1,Q3,No,0,15,Offer D,Yes,44.07,Yes,Yes,Fiber Optic,19.0,No,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,74.45,1145.7,0.0,0,661.05,1806.75
2070FNEXE,1,Female,77,No,Yes,No,Yes,2,1,Q3,No,0,7,Offer E,Yes,26.95,No,Yes,Fiber Optic,18.0,Yes,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,76.45,503.6,11.05,0,188.65,681.2
0094OIFMO,1,Female,78,No,Yes,No,Yes,1,1,Q3,No,0,11,Offer D,Yes,11.59,No,Yes,Fiber Optic,29.0,No,Yes,Yes,No,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,95.0,1120.3,0.0,120,127.49,1367.79
9947OTFQU,1,Male,65,No,Yes,No,No,0,1,Q3,No,0,15,Offer D,Yes,29.11,No,Yes,Fiber Optic,29.0,No,Yes,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.4,1074.3,0.0,0,436.65,1510.95
