ID,Site Num,Date Local,NO2 Units,NO2 MEAN,O3 Units,O3 MEAN
2012-1,1103,1/1/2012,Parts per billion,27.682609,Parts per million,0.009833
2012-2,1103,1/1/2012,Parts per billion,27.682609,Parts per million,0.009833
2012-3,1103,1/1/2012,Parts per billion,27.682609,Parts per million,0.009833
2012-4,1103,1/1/2012,Parts per billion,27.682609,Parts per million,0.009833
2012-5,1103,1/1/2012,Parts per billion,27.682609,Parts per million,0.009833
2012-6,1103,1/1/2012,Parts per billion,27.682609,Parts per million,0.009833
2012-7,1103,1/1/2012,Parts per billion,27.682609,Parts per million,0.009833
2012-8,1103,1/1/2012,Parts per billion,27.682609,Parts per million,0.009833
2012-9,1103,1/2/2012,Parts per billion,33.06087,Parts per million,0.005458
2012-10,1103,1/2/2012,Parts per billion,33.06087,Parts per million,0.005458
2012-11,1103,1/2/2012,Parts per billion,33.06087,Parts per million,0.005458
2012-12,1103,1/2/2012,Parts per billion,33.06087,Parts per million,0.005458
2012-13,1103,1/2/2012,Parts per billion,33.06087,Parts per million,0.005458
2012-14,1103,1/2/2012,Parts per billion,33.06087,Parts per million,0.005458
2012-15,1103,1/2/2012,Parts per billion,33.06087,Parts per million,0.005458
2012-16,1103,1/2/2012,Parts per billion,33.06087,Parts per million,0.005458
2012-17,1103,1/3/2012,Parts per billion,,Parts per million,0.003667
2012-18,1103,1/3/2012,Parts per billion,,Parts per million,0.003667
2012-19,1103,1/3/2012,Parts per billion,,Parts per million,0.003667
2012-20,1103,1/3/2012,Parts per billion,,Parts per million,0.003667
2012-21,1103,1/3/2012,Parts per billion,,Parts per million,0.003667
2012-22,1103,1/3/2012,Parts per billion,,Parts per million,0.003667
2012-23,1103,1/3/2012,Parts per billion,,Parts per million,0.003667
2012-24,1103,1/3/2012,Parts per billion,,Parts per million,0.003667
2012-25,1103,1/4/2012,Parts per billion,36.816667,Parts per million,0.001333
2012-26,1103,1/4/2012,Parts per billion,36.816667,Parts per million,0.001333
2012-27,1103,1/4/2012,Parts per billion,36.816667,Parts per million,0.001333
2012-28,1103,1/4/2012,Parts per billion,36.816667,Parts per million,0.001333
2012-29,1103,1/4/2012,Parts per billion,36.816667,Parts per million,0.001333
2012-30,1103,1/4/2012,Parts per billion,36.816667,Parts per million,0.001333
2012-31,1103,1/5/2012,Parts per billion,38.104762,Parts per million,0.004727
2012-32,1103,1/5/2012,Parts per billion,38.104762,Parts per million,0.004727
2012-33,1103,1/5/2012,Parts per billion,38.104762,Parts per million,0.004727
2012-34,1103,1/5/2012,Parts per billion,38.104762,Parts per million,0.004727
2012-35,1103,1/6/2012,Parts per billion,44.254545,Parts per million,0.002583
2012-36,1103,1/6/2012,Parts per billion,44.254545,Parts per million,0.002583
2012-37,1103,1/6/2012,Parts per billion,44.254545,Parts per million,0.002583
2012-38,1103,1/6/2012,Parts per billion,44.254545,Parts per million,0.002583
2012-39,1103,1/7/2012,Parts per billion,30.1,Parts per million,0.004458
2012-40,1103,1/7/2012,Parts per billion,30.1,Parts per million,0.004458
2012-41,1103,1/7/2012,Parts per billion,30.1,Parts per million,0.004458
2012-42,1103,1/7/2012,Parts per billion,30.1,Parts per million,0.004458
2012-43,1103,1/8/2012,Parts per billion,27.230435,Parts per million,0.007333
2012-44,1103,1/8/2012,Parts per billion,27.230435,Parts per million,0.007333
2012-45,1103,1/8/2012,Parts per billion,27.230435,Parts per million,0.007333
2012-46,1103,1/8/2012,Parts per billion,27.230435,Parts per million,0.007333
2012-47,1103,1/9/2012,Parts per billion,33.665217,Parts per million,0.005417
2012-48,1103,1/9/2012,Parts per billion,33.665217,Parts per million,0.005417
2012-49,1103,1/9/2012,Parts per billion,33.665217,Parts per million,0.005417
2012-50,1103,1/9/2012,Parts per billion,33.665217,Parts per million,0.005417
2012-51,1103,1/9/2012,Parts per billion,33.665217,Parts per million,0.005417
2012-52,1103,1/9/2012,Parts per billion,33.665217,Parts per million,0.005417
2012-53,1103,1/9/2012,Parts per billion,33.665217,Parts per million,0.005417
2012-54,1103,1/9/2012,Parts per billion,33.665217,Parts per million,0.005417
2012-55,1103,1/10/2012,Parts per billion,37.990909,Parts per million,0.005083
2012-56,1103,1/10/2012,Parts per billion,37.990909,Parts per million,0.005083
2012-57,1103,1/10/2012,Parts per billion,37.990909,Parts per million,0.005083
2012-58,1103,1/10/2012,Parts per billion,37.990909,Parts per million,0.005083
2012-59,1103,1/10/2012,Parts per billion,37.990909,Parts per million,0.005083
2012-60,1103,1/10/2012,Parts per billion,37.990909,Parts per million,0.005083
2012-61,1103,1/10/2012,Parts per billion,37.990909,Parts per million,0.005083
2012-62,1103,1/10/2012,Parts per billion,37.990909,Parts per million,0.005083
2012-63,1103,1/11/2012,Parts per billion,44.690476,Parts per million,0.0015
2012-64,1103,1/11/2012,Parts per billion,44.690476,Parts per million,0.0015
2012-65,1103,1/11/2012,Parts per billion,44.690476,Parts per million,0.0015
2012-66,1103,1/11/2012,Parts per billion,44.690476,Parts per million,0.0015
2012-67,1103,1/11/2012,Parts per billion,44.690476,Parts per million,0.0015
2012-68,1103,1/11/2012,Parts per billion,44.690476,Parts per million,0.0015
2012-69,1103,1/11/2012,Parts per billion,44.690476,Parts per million,0.0015
2012-70,1103,1/11/2012,Parts per billion,44.690476,Parts per million,0.0015
2012-71,1103,1/25/2012,Parts per billion,32.882609,Parts per million,0.004333
2012-72,1103,1/25/2012,,32.882609,Parts per million,0.004333
2012-73,1103,1/25/2012,,32.882609,Parts per million,0.004333
2012-74,1103,1/25/2012,,32.882609,Parts per million,0.004333
2012-75,1103,1/26/2012,,30.790909,Parts per million,0.003167
2012-76,1103,1/26/2012,,30.790909,Parts per million,0.003167
2012-77,1103,1/26/2012,Parts per billion,30.790909,Parts per million,0.003167
2012-78,1103,1/26/2012,Parts per billion,30.790909,Parts per million,0.003167
2012-79,1103,1/26/2012,Parts per billion,30.790909,Parts per million,0.003167
2012-80,1103,1/26/2012,Parts per billion,30.790909,Parts per million,0.003167
2012-81,1103,1/26/2012,Parts per billion,30.790909,Parts per million,0.003167
2012-82,1103,1/26/2012,Parts per billion,30.790909,Parts per million,0.003167
2012-83,1103,1/27/2012,Parts per billion,31.347826,Parts per million,0.004958
2012-84,1103,1/27/2012,Parts per billion,31.347826,Parts per million,0.004958
2012-85,1103,1/27/2012,Parts per billion,31.347826,Parts per million,0.004958
2012-86,1103,1/27/2012,Parts per billion,31.347826,Parts per million,0.004958
2012-87,1103,1/27/2012,Parts per billion,31.347826,Parts per million,0.004958
2012-88,1103,1/27/2012,Parts per billion,31.347826,Parts per million,0.004958
2012-89,1103,1/27/2012,Parts per billion,31.347826,Parts per million,0.004958
2012-90,1103,1/27/2012,Parts per billion,31.347826,Parts per million,0.004958
2012-91,1103,1/28/2012,Parts per billion,32.308696,Parts per million,0.006917
2012-92,1103,1/28/2012,Parts per billion,32.308696,Parts per million,0.006917
2012-93,1103,1/28/2012,Parts per billion,32.308696,Parts per million,0.006917
2012-94,1103,1/28/2012,Parts per billion,32.308696,Parts per million,0.006917
2012-95,1103,1/28/2012,Parts per billion,32.308696,Parts per million,0.006917
2012-96,1103,1/28/2012,Parts per billion,32.308696,Parts per million,0.006917
2012-97,1103,1/28/2012,Parts per billion,32.308696,Parts per million,0.006917
2012-98,1103,1/28/2012,Parts per billion,32.308696,Parts per million,0.006917
2012-99,1103,1/29/2012,Parts per billion,26.021739,Parts per million,0.011375
2012-100,1103,1/29/2012,Parts per billion,26.021739,Parts per million,0.011375
2012-101,1103,1/29/2012,Parts per billion,26.021739,Parts per million,0.011375
2012-102,1103,1/29/2012,Parts per billion,26.021739,Parts per million,0.011375
2012-103,1103,1/29/2012,Parts per billion,26.021739,Parts per million,0.011375
2012-104,1103,1/29/2012,Parts per billion,26.021739,Parts per million,0.011375
2012-105,1103,1/29/2012,Parts per billion,26.021739,Parts per million,0.011375
2012-106,1103,1/29/2012,Parts per billion,26.021739,Parts per million,0.011375
2012-107,1103,1/30/2012,Parts per billion,35.765217,Parts per million,0.0055
2012-108,1103,1/30/2012,Parts per billion,35.765217,Parts per million,0.0055
2012-109,1103,1/30/2012,Parts per billion,35.765217,Parts per million,0.0055
2012-110,1103,1/30/2012,Parts per billion,35.765217,Parts per million,0.0055
2012-111,1103,1/30/2012,Parts per billion,35.765217,Parts per million,0.0055
2012-112,1103,1/30/2012,Parts per billion,35.765217,Parts per million,0.0055
2012-113,1103,1/30/2012,Parts per billion,35.765217,Parts per million,0.0055
2012-114,1103,1/30/2012,Parts per billion,35.765217,Parts per million,0.0055
2012-115,1103,1/31/2012,Parts per billion,29.8,Parts per million,0.008417
2012-116,1103,1/31/2012,Parts per billion,29.8,Parts per million,0.008417
2012-117,1103,1/31/2012,Parts per billion,29.8,Parts per million,0.008417
2012-118,1103,1/31/2012,Parts per billion,29.8,Parts per million,0.008417
2012-119,1103,1/31/2012,Parts per billion,29.8,Parts per million,0.008417
2012-120,1103,1/31/2012,Parts per billion,29.8,Parts per million,0.008417
2012-121,1103,1/31/2012,Parts per billion,29.8,Parts per million,0.008417
2012-122,1103,1/31/2012,Parts per billion,29.8,Parts per million,0.008417
2012-123,1103,2/1/2012,Parts per billion,34.334783,Parts per million,0.00875
2012-124,1103,2/1/2012,Parts per billion,34.334783,Parts per million,0.00875
2012-125,1103,2/1/2012,Parts per billion,34.334783,Parts per million,0.00875
2012-126,1103,2/1/2012,Parts per billion,34.334783,Parts per million,0.00875
2012-127,1103,2/1/2012,Parts per billion,34.334783,Parts per million,0.00875
2012-128,1103,2/1/2012,Parts per billion,34.334783,Parts per million,0.00875
2012-129,1103,2/1/2012,Parts per billion,34.334783,Parts per million,0.00875
2012-130,1103,2/1/2012,Parts per billion,34.334783,Parts per million,0.00875
2012-131,1103,2/2/2012,Parts per billion,33.313043,Parts per million,0.00875
2012-132,1103,2/2/2012,Parts per billion,33.313043,Parts per million,0.00875
2012-133,1103,2/2/2012,Parts per billion,33.313043,Parts per million,0.00875
2012-134,1103,2/2/2012,Parts per billion,33.313043,Parts per million,0.00875
2012-135,1103,2/2/2012,Parts per billion,33.313043,Parts per million,0.00875
2012-136,1103,2/2/2012,Parts per billion,33.313043,Parts per million,0.00875
2012-137,1103,2/2/2012,Parts per billion,33.313043,Parts per million,0.00875
2012-138,1103,2/2/2012,Parts per billion,33.313043,Parts per million,0.00875
2012-139,1103,2/3/2012,Parts per billion,33.42,Parts per million,0.009636
2012-140,1103,2/3/2012,Parts per billion,33.42,Parts per million,0.009636
2012-141,1103,2/3/2012,Parts per billion,33.42,Parts per million,0.009636
2012-142,1103,2/3/2012,Parts per billion,33.42,Parts per million,0.009636
2012-143,1103,2/3/2012,Parts per billion,33.42,Parts per million,0.009636
2012-144,1103,2/3/2012,Parts per billion,33.42,Parts per million,0.009636
2012-145,1103,2/3/2012,Parts per billion,33.42,Parts per million,0.009636
2012-146,1103,2/3/2012,Parts per billion,33.42,Parts per million,0.009636
2012-147,1103,2/4/2012,Parts per billion,25.489474,Parts per million,0.014524
2012-148,1103,2/4/2012,Parts per billion,25.489474,Parts per million,0.014524
2012-149,1103,2/4/2012,Parts per billion,25.489474,Parts per million,0.014524
2012-150,1103,2/4/2012,Parts per billion,25.489474,Parts per million,0.014524
2012-151,1103,2/4/2012,Parts per billion,25.489474,Parts per million,0.014524
2012-152,1103,2/4/2012,Parts per billion,25.489474,Parts per million,0.014524
2012-153,1103,2/4/2012,Parts per billion,25.489474,Parts per million,0.014524
2012-154,1103,2/4/2012,Parts per billion,25.489474,Parts per million,0.014524
2012-155,1103,2/5/2012,Parts per billion,23.978261,Parts per million,0.016292
2012-156,1103,2/5/2012,Parts per billion,23.978261,Parts per million,0.016292
2012-157,1103,2/5/2012,Parts per billion,23.978261,Parts per million,0.016292
2012-158,1103,2/5/2012,Parts per billion,23.978261,Parts per million,0.016292
2012-159,1103,2/5/2012,Parts per billion,23.978261,Parts per million,0.016292
2012-160,1103,2/5/2012,Parts per billion,23.978261,Parts per million,0.016292
2012-161,1103,2/5/2012,Parts per billion,23.978261,Parts per million,0.016292
2012-162,1103,2/5/2012,Parts per billion,23.978261,Parts per million,0.016292
2012-163,1103,2/6/2012,Parts per billion,39.236364,Parts per million,0.005625
2012-164,1103,2/6/2012,Parts per billion,39.236364,Parts per million,0.005625
2012-165,1103,2/6/2012,Parts per billion,39.236364,Parts per million,0.005625
2012-166,1103,2/6/2012,Parts per billion,39.236364,Parts per million,0.005625
2012-167,1103,2/6/2012,Parts per billion,39.236364,Parts per million,0.005625
2012-168,1103,2/6/2012,Parts per billion,39.236364,Parts per million,0.005625
2012-169,1103,2/6/2012,Parts per billion,39.236364,Parts per million,0.005625
2012-170,1103,2/6/2012,Parts per billion,39.236364,Parts per million,0.005625
2012-171,1103,2/7/2012,Parts per billion,29.422727,Parts per million,0.011583
2012-172,1103,2/7/2012,Parts per billion,29.422727,Parts per million,0.011583
2012-173,1103,2/7/2012,Parts per billion,29.422727,Parts per million,0.011583
2012-174,1103,2/7/2012,Parts per billion,29.422727,Parts per million,0.011583
2012-175,1103,2/7/2012,Parts per billion,29.422727,Parts per million,0.011583
2012-176,1103,2/7/2012,Parts per billion,29.422727,Parts per million,0.011583
2012-177,1103,2/7/2012,Parts per billion,29.422727,Parts per million,0.011583
2012-178,1103,2/7/2012,Parts per billion,29.422727,Parts per million,0.011583
2012-179,1103,2/8/2012,Parts per billion,35.23913,Parts per million,0.006667
2012-180,1103,2/8/2012,Parts per billion,35.23913,Parts per million,0.006667
2012-181,1103,2/8/2012,Parts per billion,35.23913,Parts per million,0.006667
2012-182,1103,2/8/2012,Parts per billion,35.23913,Parts per million,0.006667
2012-183,1103,2/8/2012,Parts per billion,35.23913,Parts per million,0.006667
2012-184,1103,2/8/2012,Parts per billion,35.23913,Parts per million,0.006667
2012-185,1103,2/8/2012,Parts per billion,35.23913,Parts per million,0.006667
2012-186,1103,2/8/2012,Parts per billion,35.23913,Parts per million,0.006667
2012-187,1103,2/9/2012,Parts per billion,29.669565,Parts per million,0.009417
2012-188,1103,2/9/2012,Parts per billion,29.669565,Parts per million,0.009417
2012-189,1103,2/9/2012,Parts per billion,29.669565,Parts per million,0.009417
2012-190,1103,2/9/2012,Parts per billion,29.669565,Parts per million,0.009417
2012-191,1103,2/9/2012,Parts per billion,29.669565,Parts per million,0.009417
2012-192,1103,2/9/2012,Parts per billion,29.669565,Parts per million,0.009417
2012-193,1103,2/9/2012,Parts per billion,29.669565,Parts per million,0.009417
2012-194,1103,2/9/2012,Parts per billion,29.669565,Parts per million,0.009417
2012-195,1103,2/10/2012,Parts per billion,29.147619,Parts per million,0.010833
2012-196,1103,2/10/2012,Parts per billion,29.147619,Parts per million,0.010833
