,Site Num,Date Local,NO2 Units,NO2 MEAN
0,1103,1/1/2012,Parts per billion,27.682609000000006
8,1103,1/2/2012,Parts per billion,33.06087
16,1103,1/4/2012,Parts per billion,36.816667
22,1103,1/5/2012,Parts per billion,38.104762
26,1103,1/6/2012,Parts per billion,44.254545
30,1103,1/7/2012,Parts per billion,30.1
34,1103,1/8/2012,Parts per billion,27.230435
38,1103,1/9/2012,Parts per billion,33.665217
46,1103,1/10/2012,Parts per billion,37.990909
54,1103,1/11/2012,Parts per billion,44.690476
62,1103,1/25/2012,Parts per billion,32.882609
63,1103,1/26/2012,Parts per billion,30.790909000000006
69,1103,1/27/2012,Parts per billion,31.347826
77,1103,1/28/2012,Parts per billion,32.308696000000005
85,1103,1/29/2012,Parts per billion,26.021739
93,1103,1/30/2012,Parts per billion,35.765217
101,1103,1/31/2012,Parts per billion,29.8
109,1103,2/1/2012,Parts per billion,34.334783
117,1103,2/2/2012,Parts per billion,33.313043
125,1103,2/3/2012,Parts per billion,33.42
133,1103,2/4/2012,Parts per billion,25.489474
141,1103,2/5/2012,Parts per billion,23.978261
149,1103,2/6/2012,Parts per billion,39.236364
157,1103,2/7/2012,Parts per billion,29.422727
165,1103,2/8/2012,Parts per billion,35.23913
173,1103,2/9/2012,Parts per billion,29.669565
181,1103,2/10/2012,Parts per billion,29.147619
189,1103,2/11/2012,Parts per billion,9.465217
197,1103,2/12/2012,Parts per billion,11.334783
205,1103,2/13/2012,Parts per billion,14.377273
213,1103,2/14/2012,Parts per billion,21.25
221,1103,2/23/2012,Parts per billion,37.281818
225,1103,4/1/2012,Parts per billion,7.4956520000000015
233,1103,4/2/2012,Parts per billion,26.568182
241,1103,4/5/2012,Parts per billion,23.926316
249,1103,4/6/2012,Parts per billion,32.465217
257,1103,4/7/2012,Parts per billion,29.156522
265,1103,4/8/2012,Parts per billion,26.027273
273,1103,4/9/2012,Parts per billion,29.722727000000006
281,1103,4/10/2012,Parts per billion,19.018182
289,1103,4/11/2012,Parts per billion,8.1
297,1103,4/12/2012,Parts per billion,15.9125
305,1103,4/13/2012,Parts per billion,14.082609
313,1103,4/14/2012,Parts per billion,10.278261
321,1103,4/15/2012,Parts per billion,14.334782999999998
