,ID,Site Num,Date Local,NO2 Units,NO2 MEAN,O3 Units,O3 MEAN
0,2012-1,1103,1/1/2012,Parts per billion,27.682609000000003,Parts per million,0.009833
1,2012-2,1103,1/1/2012,Parts per billion,27.682609000000003,Parts per million,0.009833
2,2012-3,1103,1/1/2012,Parts per billion,27.682609000000003,Parts per million,0.009833
3,2012-4,1103,1/1/2012,Parts per billion,27.682609000000003,Parts per million,0.009833
4,2012-5,1103,1/1/2012,Parts per billion,27.682609000000003,Parts per million,0.009833
5,2012-6,1103,1/1/2012,Parts per billion,27.682609000000003,Parts per million,0.009833
6,2012-7,1103,1/1/2012,Parts per billion,27.682609000000003,Parts per million,0.009833
7,2012-8,1103,1/1/2012,Parts per billion,27.682609000000003,Parts per million,0.009833
8,2012-9,1103,1/2/2012,Parts per billion,33.06087,Parts per million,0.005458
9,2012-10,1103,1/2/2012,Parts per billion,33.06087,Parts per million,0.005458
10,2012-11,1103,1/2/2012,Parts per billion,33.06087,Parts per million,0.005458
11,2012-12,1103,1/2/2012,Parts per billion,33.06087,Parts per million,0.005458
12,2012-13,1103,1/2/2012,Parts per billion,33.06087,Parts per million,0.005458
13,2012-14,1103,1/2/2012,Parts per billion,33.06087,Parts per million,0.005458
14,2012-15,1103,1/2/2012,Parts per billion,33.06087,Parts per million,0.005458
15,2012-16,1103,1/2/2012,Parts per billion,33.06087,Parts per million,0.005458
24,2012-25,1103,1/4/2012,Parts per billion,36.816666999999995,Parts per million,0.001333
25,2012-26,1103,1/4/2012,Parts per billion,36.816666999999995,Parts per million,0.001333
26,2012-27,1103,1/4/2012,Parts per billion,36.816666999999995,Parts per million,0.001333
27,2012-28,1103,1/4/2012,Parts per billion,36.816666999999995,Parts per million,0.001333
28,2012-29,1103,1/4/2012,Parts per billion,36.816666999999995,Parts per million,0.001333
29,2012-30,1103,1/4/2012,Parts per billion,36.816666999999995,Parts per million,0.001333
30,2012-31,1103,1/5/2012,Parts per billion,38.104762,Parts per million,0.004727
31,2012-32,1103,1/5/2012,Parts per billion,38.104762,Parts per million,0.004727
32,2012-33,1103,1/5/2012,Parts per billion,38.104762,Parts per million,0.004727
33,2012-34,1103,1/5/2012,Parts per billion,38.104762,Parts per million,0.004727
34,2012-35,1103,1/6/2012,Parts per billion,44.254545,Parts per million,0.002583
35,2012-36,1103,1/6/2012,Parts per billion,44.254545,Parts per million,0.002583
36,2012-37,1103,1/6/2012,Parts per billion,44.254545,Parts per million,0.002583
37,2012-38,1103,1/6/2012,Parts per billion,44.254545,Parts per million,0.002583
38,2012-39,1103,1/7/2012,Parts per billion,30.1,Parts per million,0.004458
39,2012-40,1103,1/7/2012,Parts per billion,30.1,Parts per million,0.004458
40,2012-41,1103,1/7/2012,Parts per billion,30.1,Parts per million,0.004458
41,2012-42,1103,1/7/2012,Parts per billion,30.1,Parts per million,0.004458
42,2012-43,1103,1/8/2012,Parts per billion,27.230434999999996,Parts per million,0.007333
43,2012-44,1103,1/8/2012,Parts per billion,27.230434999999996,Parts per million,0.007333
44,2012-45,1103,1/8/2012,Parts per billion,27.230434999999996,Parts per million,0.007333
45,2012-46,1103,1/8/2012,Parts per billion,27.230434999999996,Parts per million,0.007333
46,2012-47,1103,1/9/2012,Parts per billion,33.665217,Parts per million,0.005417
47,2012-48,1103,1/9/2012,Parts per billion,33.665217,Parts per million,0.005417
48,2012-49,1103,1/9/2012,Parts per billion,33.665217,Parts per million,0.005417
49,2012-50,1103,1/9/2012,Parts per billion,33.665217,Parts per million,0.005417
50,2012-51,1103,1/9/2012,Parts per billion,33.665217,Parts per million,0.005417
51,2012-52,1103,1/9/2012,Parts per billion,33.665217,Parts per million,0.005417
52,2012-53,1103,1/9/2012,Parts per billion,33.665217,Parts per million,0.005417
53,2012-54,1103,1/9/2012,Parts per billion,33.665217,Parts per million,0.005417
54,2012-55,1103,1/10/2012,Parts per billion,37.990909,Parts per million,0.005083
55,2012-56,1103,1/10/2012,Parts per billion,37.990909,Parts per million,0.005083
56,2012-57,1103,1/10/2012,Parts per billion,37.990909,Parts per million,0.005083
57,2012-58,1103,1/10/2012,Parts per billion,37.990909,Parts per million,0.005083
58,2012-59,1103,1/10/2012,Parts per billion,37.990909,Parts per million,0.005083
59,2012-60,1103,1/10/2012,Parts per billion,37.990909,Parts per million,0.005083
60,2012-61,1103,1/10/2012,Parts per billion,37.990909,Parts per million,0.005083
61,2012-62,1103,1/10/2012,Parts per billion,37.990909,Parts per million,0.005083
62,2012-63,1103,1/11/2012,Parts per billion,44.690476000000004,Parts per million,0.0015
63,2012-64,1103,1/11/2012,Parts per billion,44.690476000000004,Parts per million,0.0015
64,2012-65,1103,1/11/2012,Parts per billion,44.690476000000004,Parts per million,0.0015
65,2012-66,1103,1/11/2012,Parts per billion,44.690476000000004,Parts per million,0.0015
66,2012-67,1103,1/11/2012,Parts per billion,44.690476000000004,Parts per million,0.0015
67,2012-68,1103,1/11/2012,Parts per billion,44.690476000000004,Parts per million,0.0015
68,2012-69,1103,1/11/2012,Parts per billion,44.690476000000004,Parts per million,0.0015
69,2012-70,1103,1/11/2012,Parts per billion,44.690476000000004,Parts per million,0.0015
70,2012-71,1103,1/25/2012,Parts per billion,32.882609,Parts per million,0.004333
76,2012-77,1103,1/26/2012,Parts per billion,30.790909000000003,Parts per million,0.003167
77,2012-78,1103,1/26/2012,Parts per billion,30.790909000000003,Parts per million,0.003167
78,2012-79,1103,1/26/2012,Parts per billion,30.790909000000003,Parts per million,0.003167
79,2012-80,1103,1/26/2012,Parts per billion,30.790909000000003,Parts per million,0.003167
80,2012-81,1103,1/26/2012,Parts per billion,30.790909000000003,Parts per million,0.003167
81,2012-82,1103,1/26/2012,Parts per billion,30.790909000000003,Parts per million,0.003167
82,2012-83,1103,1/27/2012,Parts per billion,31.347826,Parts per million,0.004958
83,2012-84,1103,1/27/2012,Parts per billion,31.347826,Parts per million,0.004958
84,2012-85,1103,1/27/2012,Parts per billion,31.347826,Parts per million,0.004958
85,2012-86,1103,1/27/2012,Parts per billion,31.347826,Parts per million,0.004958
86,2012-87,1103,1/27/2012,Parts per billion,31.347826,Parts per million,0.004958
87,2012-88,1103,1/27/2012,Parts per billion,31.347826,Parts per million,0.004958
88,2012-89,1103,1/27/2012,Parts per billion,31.347826,Parts per million,0.004958
89,2012-90,1103,1/27/2012,Parts per billion,31.347826,Parts per million,0.004958
90,2012-91,1103,1/28/2012,Parts per billion,32.308696000000005,Parts per million,0.006917
91,2012-92,1103,1/28/2012,Parts per billion,32.308696000000005,Parts per million,0.006917
92,2012-93,1103,1/28/2012,Parts per billion,32.308696000000005,Parts per million,0.006917
93,2012-94,1103,1/28/2012,Parts per billion,32.308696000000005,Parts per million,0.006917
94,2012-95,1103,1/28/2012,Parts per billion,32.308696000000005,Parts per million,0.006917
95,2012-96,1103,1/28/2012,Parts per billion,32.308696000000005,Parts per million,0.006917
96,2012-97,1103,1/28/2012,Parts per billion,32.308696000000005,Parts per million,0.006917
97,2012-98,1103,1/28/2012,Parts per billion,32.308696000000005,Parts per million,0.006917
98,2012-99,1103,1/29/2012,Parts per billion,26.021739,Parts per million,0.011375
99,2012-100,1103,1/29/2012,Parts per billion,26.021739,Parts per million,0.011375
100,2012-101,1103,1/29/2012,Parts per billion,26.021739,Parts per million,0.011375
101,2012-102,1103,1/29/2012,Parts per billion,26.021739,Parts per million,0.011375
102,2012-103,1103,1/29/2012,Parts per billion,26.021739,Parts per million,0.011375
103,2012-104,1103,1/29/2012,Parts per billion,26.021739,Parts per million,0.011375
104,2012-105,1103,1/29/2012,Parts per billion,26.021739,Parts per million,0.011375
105,2012-106,1103,1/29/2012,Parts per billion,26.021739,Parts per million,0.011375
106,2012-107,1103,1/30/2012,Parts per billion,35.765217,Parts per million,0.0055
107,2012-108,1103,1/30/2012,Parts per billion,35.765217,Parts per million,0.0055
108,2012-109,1103,1/30/2012,Parts per billion,35.765217,Parts per million,0.0055
109,2012-110,1103,1/30/2012,Parts per billion,35.765217,Parts per million,0.0055
110,2012-111,1103,1/30/2012,Parts per billion,35.765217,Parts per million,0.0055
111,2012-112,1103,1/30/2012,Parts per billion,35.765217,Parts per million,0.0055
112,2012-113,1103,1/30/2012,Parts per billion,35.765217,Parts per million,0.0055
113,2012-114,1103,1/30/2012,Parts per billion,35.765217,Parts per million,0.0055
114,2012-115,1103,1/31/2012,Parts per billion,29.8,Parts per million,0.008417000000000001
115,2012-116,1103,1/31/2012,Parts per billion,29.8,Parts per million,0.008417000000000001
116,2012-117,1103,1/31/2012,Parts per billion,29.8,Parts per million,0.008417000000000001
117,2012-118,1103,1/31/2012,Parts per billion,29.8,Parts per million,0.008417000000000001
118,2012-119,1103,1/31/2012,Parts per billion,29.8,Parts per million,0.008417000000000001
119,2012-120,1103,1/31/2012,Parts per billion,29.8,Parts per million,0.008417000000000001
120,2012-121,1103,1/31/2012,Parts per billion,29.8,Parts per million,0.008417000000000001
121,2012-122,1103,1/31/2012,Parts per billion,29.8,Parts per million,0.008417000000000001
122,2012-123,1103,2/1/2012,Parts per billion,34.334783,Parts per million,0.00875
123,2012-124,1103,2/1/2012,Parts per billion,34.334783,Parts per million,0.00875
124,2012-125,1103,2/1/2012,Parts per billion,34.334783,Parts per million,0.00875
125,2012-126,1103,2/1/2012,Parts per billion,34.334783,Parts per million,0.00875
126,2012-127,1103,2/1/2012,Parts per billion,34.334783,Parts per million,0.00875
127,2012-128,1103,2/1/2012,Parts per billion,34.334783,Parts per million,0.00875
128,2012-129,1103,2/1/2012,Parts per billion,34.334783,Parts per million,0.00875
