,Unnamed: 0,Unnamed: 0.1,Site Num,Date Local,NO2 Units,NO2 MEAN
0,326,1681,1103,2013-01-01,Parts per billion,24.079167
1,327,1689,1103,2013-01-02,Parts per billion,33.025
2,328,1697,1103,2013-01-03,Parts per billion,36.541667
323,649,4213,5005,2013-01-04,Parts per billion,25.028571
324,650,4217,5005,2013-01-05,Parts per billion,25.718182
325,651,4221,5005,2013-01-06,Parts per billion,16.663636
326,652,4225,5005,2013-01-07,Parts per billion,13.663636
7,333,1737,1103,2013-01-08,Parts per billion,41.454167
8,334,1745,1103,2013-01-09,Parts per billion,38.275
329,655,4237,5005,2013-01-10,Parts per billion,3.959091
330,656,4241,5005,2013-01-11,Parts per billion,7.945455
331,657,4245,5005,2013-01-12,Parts per billion,17.022727
332,658,4249,5005,2013-01-13,Parts per billion,17.027273
333,659,4253,5005,2013-01-14,Parts per billion,18.795455
334,660,4257,5005,2013-01-15,Parts per billion,22.78636400000001
335,661,4261,5005,2013-01-16,Parts per billion,37.927273
16,342,1809,1103,2013-01-17,Parts per billion,44.64
17,343,1817,1103,2013-01-18,Parts per billion,33.25625
18,344,1825,1103,2013-01-19,Parts per billion,31.229167
19,345,1833,1103,2013-01-20,Parts per billion,26.9875
20,346,1841,1103,2013-01-21,Parts per billion,34.854167
341,667,4285,5005,2013-01-22,Parts per billion,37.4
342,668,4289,5005,2013-01-23,Parts per billion,39.904545
23,349,1865,1103,2013-01-24,Parts per billion,17.866667
344,670,4297,5005,2013-01-25,Parts per billion,20.25
25,351,1881,1103,2013-01-26,Parts per billion,15.473913
26,352,1889,1103,2013-01-27,Parts per billion,8.2375
27,353,1897,1103,2013-01-28,Parts per billion,9.058333
28,354,1905,1103,2013-01-29,Parts per billion,24.629167
29,355,1913,1103,2013-01-30,Parts per billion,30.595455
30,356,1921,1103,2013-01-31,Parts per billion,34.141176
31,357,1929,1103,2013-02-01,Parts per billion,35.058333000000005
32,358,1937,1103,2013-02-02,Parts per billion,26.804167
353,679,4333,5005,2013-02-03,Parts per billion,11.572727
354,680,4337,5005,2013-02-04,Parts per billion,14.663636
355,681,4341,5005,2013-02-05,Parts per billion,8.75
356,682,4345,5005,2013-02-06,Parts per billion,9.772727
357,683,4349,5005,2013-02-07,Parts per billion,16.172727
358,684,4353,5005,2013-02-08,Parts per billion,5.713636
359,685,4357,5005,2013-02-09,Parts per billion,19.9125
360,686,4361,5005,2013-02-10,Parts per billion,13.881818
361,687,4365,5005,2013-02-11,Parts per billion,18.052381
362,688,4369,5005,2013-02-12,Parts per billion,27.227273
363,689,4373,5005,2013-02-13,Parts per billion,29.05
364,690,4377,5005,2013-02-14,Parts per billion,31.081818
365,691,4381,5005,2013-02-15,Parts per billion,30.872727
366,692,4385,5005,2013-02-16,Parts per billion,20.318182
367,693,4389,5005,2013-02-17,Parts per billion,15.477273
368,694,4393,5005,2013-02-18,Parts per billion,5.113636
369,695,4397,5005,2013-02-19,Parts per billion,5.568182
370,696,4401,5005,2013-02-20,Parts per billion,3.26
371,697,4405,5005,2013-02-21,Parts per billion,12.531818
372,698,4409,5005,2013-02-22,Parts per billion,19.35
373,699,4413,5005,2013-02-23,Parts per billion,20.120833
374,700,4417,5005,2013-02-24,Parts per billion,11.627273
375,701,4421,5005,2013-02-25,Parts per billion,22.913636
376,702,4425,5005,2013-02-26,Parts per billion,29.568182
377,703,4429,5005,2013-02-27,Parts per billion,27.357143
378,704,4433,5005,2013-02-28,Parts per billion,19.668182
38,364,1985,1103,2013-03-01,Parts per billion,43.05
39,365,1993,1103,2013-03-02,Parts per billion,34.979167
381,707,4445,5005,2013-03-03,Parts per billion,4.313636
382,708,4449,5005,2013-03-04,Parts per billion,7.1826089999999985
42,368,2017,1103,2013-03-05,Parts per billion,20.364706
43,369,2025,1103,2013-03-07,Parts per billion,15.904167
44,370,2033,1103,2013-03-08,Parts per billion,16.768182
45,371,2041,1103,2013-03-09,Parts per billion,18.220833
46,372,2049,1103,2013-03-10,Parts per billion,25.266667
47,373,2057,1103,2013-03-11,Parts per billion,38.675
48,374,2065,1103,2013-03-12,Parts per billion,45.03
49,375,2073,1103,2013-03-13,Parts per billion,41.420833
50,376,2081,1103,2013-03-14,Parts per billion,41.079167
51,377,2089,1103,2013-03-15,Parts per billion,39.95
52,378,2097,1103,2013-03-16,Parts per billion,20.2875
53,379,2105,1103,2013-03-17,Parts per billion,12.845833
54,380,2113,1103,2013-03-18,Parts per billion,15.958332999999998
55,381,2121,1103,2013-03-19,Parts per billion,28.4875
56,382,2129,1103,2013-03-20,Parts per billion,29.463636
57,383,2137,1103,2013-03-21,Parts per billion,23.4
58,384,2145,1103,2013-03-22,Parts per billion,22.166667
59,385,2153,1103,2013-03-23,Parts per billion,18.883333
60,386,2161,1103,2013-03-24,Parts per billion,21.145833
61,387,2169,1103,2013-03-25,Parts per billion,32.579167
62,388,2177,1103,2013-03-26,Parts per billion,23.6375
63,389,2185,1103,2013-03-27,Parts per billion,18.758333
64,390,2193,1103,2013-03-28,Parts per billion,24.53913
65,391,2201,1103,2013-03-29,Parts per billion,26.9
66,392,2209,1103,2013-03-30,Parts per billion,15.941667
67,393,2217,1103,2013-03-31,Parts per billion,7.9
68,394,2225,1103,2013-04-01,Parts per billion,13.945455
69,395,2233,1103,2013-04-02,Parts per billion,22.472727
70,396,2241,1103,2013-04-03,Parts per billion,22.968182
71,397,2249,1103,2013-04-04,Parts per billion,21.275
72,398,2257,1103,2013-04-05,Parts per billion,15.945455
73,399,2265,1103,2013-04-06,Parts per billion,13.168182
74,400,2273,1103,2013-04-07,Parts per billion,11.490909
75,401,2281,1103,2013-04-08,Parts per billion,10.172727
76,402,2289,1103,2013-04-09,Parts per billion,17.263635999999998
77,403,2297,1103,2013-04-10,Parts per billion,30.931818
78,404,2305,1103,2013-04-11,Parts per billion,24.95625
79,405,2313,1103,2013-04-12,Parts per billion,15.28125
