,Site Num,Address,County,City,Date Local,NO2 Units,NO2 Mean,O3 Units,O3 Mean,SO2 Units,SO2 Mean,CO Units,CO Mean
4648,4006,"2425 Webster St., Long Beach, CA",Los Angeles,Long Beach,2013-01-01,Parts per billion,27.231818,Parts per million,0.007875,Parts per billion,0.709091,Parts per million,1.109091
4652,4006,"2425 Webster St., Long Beach, CA",Los Angeles,Long Beach,2013-01-02,Parts per billion,42.086364,Parts per million,0.00525,Parts per billion,1.4136360000000001,Parts per million,1.15
4656,4006,"2425 Webster St., Long Beach, CA",Los Angeles,Long Beach,2013-01-03,Parts per billion,49.722727,Parts per million,0.00375,Parts per billion,1.604545,Parts per million,1.340909
4660,4006,"2425 Webster St., Long Beach, CA",Los Angeles,Long Beach,2013-01-04,Parts per billion,45.022727,Parts per million,0.003667,Parts per billion,1.609091,Parts per million,1.159091
4664,4006,"2425 Webster St., Long Beach, CA",Los Angeles,Long Beach,2013-01-05,Parts per billion,41.286364,Parts per million,0.005083,Parts per billion,1.4136360000000001,Parts per million,1.2
4668,4006,"2425 Webster St., Long Beach, CA",Los Angeles,Long Beach,2013-01-06,Parts per billion,21.568182,Parts per million,0.015916999999999997,Parts per billion,0.195455,Parts per million,0.718182
4672,4006,"2425 Webster St., Long Beach, CA",Los Angeles,Long Beach,2013-01-07,Parts per billion,31.486364000000002,Parts per million,0.009375,Parts per billion,0.909091,Parts per million,0.909091
4676,4006,"2425 Webster St., Long Beach, CA",Los Angeles,Long Beach,2013-01-08,Parts per billion,37.35,Parts per million,0.0034579999999999997,Parts per billion,1.209091,Parts per million,1.227273
4680,4006,"2425 Webster St., Long Beach, CA",Los Angeles,Long Beach,2013-01-09,Parts per billion,43.540909,Parts per million,0.002667,Parts per billion,1.609091,Parts per million,1.35
4684,4006,"2425 Webster St., Long Beach, CA",Los Angeles,Long Beach,2013-01-10,Parts per billion,18.586364,Parts per million,0.02425,Parts per billion,0.486364,Parts per million,0.368182
4688,4006,"2425 Webster St., Long Beach, CA",Los Angeles,Long Beach,2013-01-11,Parts per billion,20.345454999999998,Parts per million,0.020083,Parts per billion,0.559091,Parts per million,0.418182
