Date,region,Total_Vol_org,Total_Vol_conv
2016-12-25,LosAngeles,81458.1,2641775.31
2016-12-18,LosAngeles,75362.42,2377799.62
2016-12-11,LosAngeles,77692.93,2793917.73
2016-12-04,LosAngeles,68500.56,2780629.1
2016-11-27,LosAngeles,63734.67,2257271.18
2016-11-20,LosAngeles,60249.61,2272023.15
2016-11-13,LosAngeles,66733.93,1913492.61
2016-11-06,LosAngeles,64388.86,1595013.07
2016-10-30,LosAngeles,48849.52,1499286.88
2016-10-23,LosAngeles,35647.66,2133563.24
2016-10-16,LosAngeles,56666.92,2548687.86
2016-10-09,LosAngeles,72073.73,2766529.12
2016-10-02,LosAngeles,76112.99,2865744.94
2016-09-25,LosAngeles,62154.36,3007073.27
2016-09-18,LosAngeles,74445.93,2589309.14
2016-09-11,LosAngeles,109755.53,2939704.87
2016-09-04,LosAngeles,106844.47,3431676.04
2016-08-28,LosAngeles,104270.76,3563268.97
2016-08-21,LosAngeles,114354.69,3086167.04
2016-08-14,LosAngeles,131165.91,2879218.13
2016-08-07,LosAngeles,130613.45,3094362.21
2016-07-31,LosAngeles,115313.85,2826836.07
2016-07-24,LosAngeles,111080.96,3033328.67
2016-07-17,LosAngeles,114343.02,3092234.0
2016-07-10,LosAngeles,125690.61,3293224.51
2016-07-03,LosAngeles,116296.31,3449361.49
2016-06-26,LosAngeles,112304.11,3258184.45
2016-06-19,LosAngeles,110087.71,3237847.21
2016-06-12,LosAngeles,106514.62,3248769.26
2016-06-05,LosAngeles,99717.99,3715458.49
2016-05-29,LosAngeles,111714.45,3203935.53
2016-05-22,LosAngeles,115978.52,3134305.39
2016-05-15,LosAngeles,108031.14,2866855.58
2016-05-08,LosAngeles,119123.05,3942054.31
2016-05-01,LosAngeles,102002.62,3863314.25
2016-04-24,LosAngeles,117010.57,3136882.52
2016-04-17,LosAngeles,106228.91,3185230.67
2016-04-10,LosAngeles,108798.33,3288356.88
2016-04-03,LosAngeles,117966.34,2793982.31
2016-03-27,LosAngeles,104358.7,3467762.25
2016-03-20,LosAngeles,96605.4,3374876.94
2016-03-13,LosAngeles,117245.31,2987393.94
2016-03-06,LosAngeles,115143.8,3138836.66
2016-02-28,LosAngeles,128489.58,3332578.34
2016-02-21,LosAngeles,91664.08,3232888.65
2016-02-14,LosAngeles,89422.16,3664088.6
2016-02-07,LosAngeles,80943.91,4982700.11
2016-01-31,LosAngeles,81433.73,3197788.06
2016-01-24,LosAngeles,79706.09,3173509.36
2016-01-17,LosAngeles,65863.8,2952576.85
2016-01-10,LosAngeles,80027.43,3172437.94
2016-01-03,LosAngeles,60896.62,3967109.33
2016-12-25,SanFrancisco,16169.17,690027.33
2016-12-18,SanFrancisco,14537.83,643518.28
2016-12-11,SanFrancisco,16323.32,655428.34
2016-12-04,SanFrancisco,17934.25,542857.36
2016-11-27,SanFrancisco,17864.74,488378.1
2016-11-20,SanFrancisco,17436.41,510752.32
2016-11-13,SanFrancisco,18930.4,506543.8
2016-11-06,SanFrancisco,19043.8,492504.81
2016-10-30,SanFrancisco,16700.94,477937.8
2016-10-23,SanFrancisco,11252.48,411873.66
2016-10-16,SanFrancisco,9048.18,590535.06
2016-10-09,SanFrancisco,20761.25,673082.26
2016-10-02,SanFrancisco,22501.25,731993.57
2016-09-25,SanFrancisco,21280.92,860546.65
2016-09-18,SanFrancisco,23514.36,813575.88
2016-09-11,SanFrancisco,24473.19,862732.45
2016-09-04,SanFrancisco,24494.11,850104.12
2016-08-28,SanFrancisco,24143.51,812410.86
2016-08-21,SanFrancisco,20261.0,825338.15
2016-08-14,SanFrancisco,25520.8,1114834.28
2016-08-07,SanFrancisco,24605.38,753570.45
2016-07-31,SanFrancisco,23597.78,814505.22
2016-07-24,SanFrancisco,22083.85,817357.28
2016-07-17,SanFrancisco,26284.24,804071.94
2016-07-10,SanFrancisco,29064.21,842731.76
2016-07-03,SanFrancisco,29071.11,891917.15
2016-06-26,SanFrancisco,29535.82,749554.87
2016-06-19,SanFrancisco,26991.7,800921.02
2016-06-12,SanFrancisco,27349.15,770382.05
2016-06-05,SanFrancisco,26850.91,899154.46
2016-05-29,SanFrancisco,28707.18,891069.03
2016-05-22,SanFrancisco,30292.77,817923.28
2016-05-15,SanFrancisco,31308.71,772064.79
2016-05-08,SanFrancisco,51985.57,961334.65
2016-05-01,SanFrancisco,47035.36,1001227.21
2016-04-24,SanFrancisco,29693.75,1017425.89
2016-04-17,SanFrancisco,25486.1,786422.89
2016-04-10,SanFrancisco,25141.16,765652.36
2016-04-03,SanFrancisco,24055.14,849739.84
2016-03-27,SanFrancisco,25593.44,716020.43
2016-03-20,SanFrancisco,24714.55,739577.85
2016-03-13,SanFrancisco,25229.74,714002.3
2016-03-06,SanFrancisco,24869.6,817240.38
2016-02-28,SanFrancisco,24175.21,824092.61
2016-02-21,SanFrancisco,21256.64,799826.02
2016-02-14,SanFrancisco,21276.09,696959.32
2016-02-07,SanFrancisco,26088.82,1355047.15
2016-01-31,SanFrancisco,23630.61,805039.06
2016-01-24,SanFrancisco,24292.32,844417.47
2016-01-17,SanFrancisco,18983.23,732860.83
2016-01-10,SanFrancisco,17568.19,765839.95
2016-01-03,SanFrancisco,18894.27,918798.74
