Store,Date,Num_Visitors,Num_Sales,Weekly_Sales,Promo_Week
Seattle,2010-07-05,3275,1515,335237.34,True
Seattle,2010-07-16,2843,1889,330525.74,False
Seattle,2010-07-23,1966,1589,323996.64,False
Seattle,2010-07-30,2696,1761,344366.3299999999,False
Seattle,2010-08-10,2714,1789,345812.75000000006,False
Seattle,2010-08-13,3282,1675,391208.18,True
Seattle,2010-08-20,3194,1792,385092.45999999996,True
Seattle,2010-08-27,3009,1515,344421.14,True
Seattle,2010-09-04,3185,1626,332682.28,False
Seattle,2010-09-07,3003,1682,323415.37000000005,False
Seattle,2010-09-17,2690,1573,330036.14,False
Seattle,2010-09-24,2703,1495,317553.75,False
Seattle,2010-10-09,2421,1570,324176.86,False
Seattle,2010-10-12,4325,2439,507088.32999999996,True
Seattle,2010-10-15,2543,1742,337652.23,False
Seattle,2010-10-22,3703,1680,351789.57999999996,True
Seattle,2010-10-29,2978,1616,366945.91,True
Seattle,2010-11-06,2641,1500,307901.17000000004,False
Seattle,2010-11-19,2568,2143,373254.56000000006,False
Seattle,2010-11-26,4083,2385,560862.1900000001,True
Seattle,2010-12-02,2701,1832,387200.05,True
Seattle,2010-12-03,3206,1849,332302.41000000003,False
Seattle,2010-12-11,3261,1730,346824.94,False
Seattle,2010-12-17,4825,2973,660804.1599999999,True
Seattle,2010-12-24,5609,4287,889005.53,False
Seattle,2010-12-31,2284,2034,338940.54,False
Seattle,2011-01-04,2832,1613,324600.14,False
Seattle,2011-01-07,3292,1545,358900.02,True
Seattle,2011-01-14,2843,1351,316552.83,True
Seattle,2011-01-21,2579,1668,323523.72000000003,False
Seattle,2011-01-28,1407,1618,320771.18,False
Seattle,2011-02-09,2329,1511,360044.01999999996,True
Seattle,2011-02-12,3438,1629,411965.74000000005,True
Seattle,2011-02-18,2838,2246,411695.02,False
Seattle,2011-02-25,3344,1913,359480.29000000004,False
Seattle,2011-03-06,3311,2060,357640.08999999997,False
Seattle,2011-03-18,3228,1414,355048.95,True
Seattle,2011-03-25,2799,1776,330261.43,False
Seattle,2011-04-02,3194,1632,361120.91,False
Seattle,2011-04-03,3435,1760,367821.41000000003,False
Seattle,2011-04-11,3075,2341,433583.79,False
Seattle,2011-04-15,3237,2019,338513.75,False
Seattle,2011-04-22,3183,2153,410039.01999999996,False
Seattle,2011-04-29,2632,1990,335466.99,False
Seattle,2011-05-08,2921,2164,390411.58,False
Seattle,2011-05-13,2695,1790,328222.49,False
Seattle,2011-05-20,2645,1716,337721.20000000007,False
Seattle,2011-05-27,2961,1542,343607.97,True
Seattle,2011-06-05,2727,1756,341738.42,False
Seattle,2011-06-17,2483,1542,356984.80000000005,False
Seattle,2011-06-24,2596,1742,340356.58999999997,False
Seattle,2011-07-01,3197,1712,330112.69000000006,False
Seattle,2011-07-10,2444,1804,382966.93000000005,False
Seattle,2011-07-15,3049,1683,347060.42000000004,True
Seattle,2011-07-22,3883,2487,361270.23,False
Seattle,2011-07-29,3376,1993,350562.98,False
Seattle,2011-08-04,3815,1869,347283.64999999997,False
Seattle,2011-08-07,2682,1707,335070.29,False
Seattle,2011-08-19,3273,1902,410366.26,False
Seattle,2011-08-26,2595,1372,348155.42,False
Seattle,2011-09-09,2621,1432,352661.06,True
Seattle,2011-09-12,3305,2269,493639.47,False
Seattle,2011-09-16,2183,1510,346116.93999999994,False
Seattle,2011-09-23,3283,1754,347459.18000000005,False
Seattle,2011-09-30,1697,1488,331995.65,False
Seattle,2011-10-06,2594,1795,343418.79000000004,False
Seattle,2011-10-14,2901,1666,360314.30000000005,False
Seattle,2011-10-21,2976,1879,388430.25,False
Seattle,2011-10-28,3322,1614,397699.44,True
Seattle,2011-11-02,2955,2083,385766.8,False
Seattle,2011-11-03,2718,1865,338053.74,False
Seattle,2011-11-11,3429,1970,389605.74,False
Seattle,2011-11-18,3205,1680,388421.77999999997,True
Seattle,2011-11-25,3791,2896,577433.8,False
Seattle,2011-12-08,2788,1874,366438.94,False
Seattle,2011-12-16,4085,3470,641924.61,False
Seattle,2011-12-23,5801,4604,878518.18,False
Seattle,2011-12-30,3789,1585,380439.25,True
Seattle,2012-01-06,2837,2096,379761.38,False
Seattle,2012-01-13,2869,1450,319647.24,False
Seattle,2012-01-20,3211,1450,332719.25,False
Seattle,2012-01-27,2536,1986,324949.11000000004,False
Seattle,2012-02-03,2391,1837,381636.54000000004,False
Seattle,2012-02-17,2870,2157,449376.7700000001,False
Seattle,2012-02-24,3101,1801,380841.41000000003,True
Seattle,2012-03-02,2882,1691,369910.58,False
Seattle,2012-03-08,3256,1675,384843.78,True
Seattle,2012-03-16,2449,1908,378684.01999999996,False
Seattle,2012-03-23,2436,1828,344685.44,False
Seattle,2012-03-30,2495,1716,361711.02999999997,False
Seattle,2012-04-05,2668,1486,355961.92000000004,False
Seattle,2012-04-13,2526,1892,361493.98,False
Seattle,2012-04-20,2325,1906,353735.02,False
Seattle,2012-04-27,1888,1552,336729.13,False
Seattle,2012-05-10,3077,2008,384091.19,False
Seattle,2012-05-18,2577,1641,360883.65,False
Seattle,2012-05-25,3283,1980,368261.76999999996,False
Seattle,2012-06-01,2756,1760,350452.92,False
Seattle,2012-06-04,3579,2017,451403.29999999993,False
Seattle,2012-06-07,2219,1737,368294.2,False
Seattle,2012-06-15,3073,1882,364960.21,False
Seattle,2012-06-22,3886,1738,355789.41000000003,False
Seattle,2012-06-29,2828,1553,353550.95,True
