,Date,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,type,year,region
0,2018-03-25,1.57,149396.5,16361.69,109045.03,65.45,23924.33,19273.8,4270.53,380.0,conventional,2018,Albany
1,2018-03-18,1.35,105304.65,13234.86,61037.58,55.0,30977.21,26755.9,3721.31,500.0,conventional,2018,Albany
2,2018-03-11,1.12,144648.75,15823.35,110950.68,70.0,17804.72,14480.52,3033.09,291.11,conventional,2018,Albany
3,2018-03-04,,,,,,,,,,,,
4,2018-02-25,1.28,104278.89,10368.77,59723.32,48.0,34138.8,30126.31,3702.49,310.0,conventional,2018,Albany
5,2018-02-18,1.43,85630.24,5499.73,61661.76,75.0,18393.75,15677.67,2336.08,380.0,conventional,2018,Albany
6,2018-02-11,1.45,121804.36,8183.48,95548.47,61.0,18011.41,13264.91,4295.39,451.11,conventional,2018,Albany
7,2018-02-04,1.03,216738.47,7625.65,195725.06,143.53,13244.23,10571.6,2422.63,250.0,conventional,2018,Albany
8,2018-01-28,1.57,93625.03,3101.17,74627.23,55.59,15841.04,11614.79,4159.58,66.67,conventional,2018,Albany
9,2018-01-21,,,3133.37,116520.88,88.78,15453.32,10023.79,5429.53,0.0,conventional,2018,Albany
10,2018-01-14,1.42,95246.38,2897.41,76570.67,44.0,15734.3,10012.8,5721.5,0.0,conventional,2018,Albany
11,2018-01-07,,98540.22,2940.63,76192.61,42.63,19364.35,8633.09,10707.93,23.33,conventional,2018,Albany
12,2018-03-25,1.04,624645.42,281209.4,33187.58,1831.33,308417.11,227944.75,77406.46,3065.9,conventional,2018,Atlanta
13,2018-03-18,0.95,,323507.79,36770.0,1828.28,368343.62,267740.12,97851.46,2752.04,conventional,2018,Atlanta
14,2018-03-11,0.96,695821.13,320199.4,36356.76,1628.73,337636.24,260152.24,74963.16,2520.84,conventional,2018,Atlanta
15,2018-03-04,1.08,594551.6,272245.24,37136.05,1763.52,283406.79,178019.66,103016.02,2371.11,conventional,2018,Atlanta
16,2018-02-25,,,257877.67,35083.86,1579.38,291699.53,201139.31,88126.43,2433.79,conventional,2018,Atlanta
17,2018-02-18,1.04,538448.01,229255.93,30082.73,1325.82,277783.53,198897.13,76224.45,2661.95,conventional,2018,Atlanta
18,2018-02-11,,723928.38,349354.58,39349.47,1608.23,333616.1,241870.49,89401.42,2344.19,conventional,2018,Atlanta
19,2018-02-04,0.86,957792.07,474887.68,55158.13,1755.05,425991.21,292317.81,131566.04,2107.36,conventional,2018,Atlanta
20,2018-01-28,1.08,559460.44,267126.26,37573.74,1661.8,253098.64,165156.6,83774.26,4167.78,conventional,2018,Atlanta
21,2018-01-21,1.1,639421.29,288131.95,56731.74,1612.56,292945.04,158655.8,128969.24,5320.0,conventional,2018,Atlanta
22,2018-01-14,1.1,670766.04,298975.97,60229.21,1604.9,309955.96,171508.47,134436.39,4011.1,conventional,2018,Atlanta
23,2018-01-07,0.98,713915.8,364463.12,47869.41,1459.65,300123.62,217644.43,78287.66,4191.53,conventional,2018,Atlanta
24,2018-03-25,1.23,986038.75,108250.52,591934.75,4205.03,281648.45,277508.08,2777.04,1363.33,conventional,2018,BaltimoreWashington
