Metro Area,State,Population,Median Income, Region of US
Albany,NY,97726,43790,Northeast
Atlanta,GA,491763,65381,Southeast
Austin,TX,951750,73800,Southwest
Baltimore,MD,611648,77394,Northeast
Birmingham,AL,210866,53107,Southeast
Boise,ID,227621,54547,West
Boston,MA,688276,71834,Northeast
Charlotte,NC,859347,61156,Southeast
Cheyenne,WY,63587,60878,West
Cincinnati,OH,301648,61653,Midwest
Denver,CO,704621,64974,West
Jacksonville,FL,891736,58709,Southeast
LosAngeles,CA,3982000,68093,West
Miami,FL,462030,52594,Southeast
Pittsburgh,PA,301720,58521,Northeast
Sacramento,CA,500944,65046,West
SanDiego,CA,1414000,76207,West
SanFrancisco,CA,879166,101714,West
Seattle,WA,729601,82133,West
Syracuse,NY,142300,34716,Northeast
Tampa,FL,386577,52212,Southeast
