,Store,Date,Temperature,Fuel_Price,CPI,Unemployment,IsHoliday,Dept,Weekly_Sales
0,1,05/02/2010,42.31,2.572,211.0963582,8.106,False,1,24924.5
1,1,05/02/2010,42.31,2.572,211.0963582,8.106,False,2,50605.27
2,1,05/02/2010,42.31,2.572,211.0963582,8.106,False,3,13740.12
3,1,05/02/2010,42.31,2.572,211.0963582,8.106,False,4,39954.04
4,1,05/02/2010,42.31,2.572,211.0963582,8.106,False,5,32229.38
5,1,05/02/2010,42.31,2.572,211.0963582,8.106,False,6,5749.03
6,1,05/02/2010,42.31,2.572,211.0963582,8.106,False,7,21084.08
7,1,05/02/2010,42.31,2.572,211.0963582,8.106,False,8,40129.01
73,1,12/02/2010,38.51,2.548,211.24216980000003,8.106,True,1,46039.49
74,1,12/02/2010,38.51,2.548,211.24216980000003,8.106,True,2,44682.74
75,1,12/02/2010,38.51,2.548,211.24216980000003,8.106,True,3,10887.84
76,1,12/02/2010,38.51,2.548,211.24216980000003,8.106,True,4,35351.21
77,1,12/02/2010,38.51,2.548,211.24216980000003,8.106,True,5,29620.81
78,1,12/02/2010,38.51,2.548,211.24216980000003,8.106,True,6,9135.0
79,1,12/02/2010,38.51,2.548,211.24216980000003,8.106,True,7,18310.31
80,1,12/02/2010,38.51,2.548,211.24216980000003,8.106,True,8,37334.83
145,1,19/02/2010,39.93,2.5140000000000002,211.2891429,8.106,False,1,41595.55
146,1,19/02/2010,39.93,2.5140000000000002,211.2891429,8.106,False,2,47928.89
147,1,19/02/2010,39.93,2.5140000000000002,211.2891429,8.106,False,3,11523.47
148,1,19/02/2010,39.93,2.5140000000000002,211.2891429,8.106,False,4,36826.95
149,1,19/02/2010,39.93,2.5140000000000002,211.2891429,8.106,False,5,26468.27
150,1,19/02/2010,39.93,2.5140000000000002,211.2891429,8.106,False,6,6060.26
151,1,19/02/2010,39.93,2.5140000000000002,211.2891429,8.106,False,7,19985.2
152,1,19/02/2010,39.93,2.5140000000000002,211.2891429,8.106,False,8,38717.6
