Store,Dept,Date,Weekly_Sales
Buffalo,Electronics,1/10/2010,7001.48
Buffalo,Furniture,1/10/2010,3233.79
Buffalo,Toys,1/10/2010,8147.53
Buffalo,Housewares,1/10/2010,14214.86
Buffalo,Shoes,1/10/2010,6134.59
Buffalo,Clothing,1/10/2010,5617.26
Buffalo,Outdoor,1/10/2010,2530.38
Buffalo,Jewelry,1/10/2010,6947.26
Las Vegas,Shoes,1/10/2010,16481.79
Las Vegas,Electronics,1/10/2010,23381.38
Las Vegas,Outdoor,1/10/2010,2876.19
Las Vegas,Toys,1/10/2010,34658.25
Las Vegas,Furniture,1/10/2010,9775.17
Las Vegas,Housewares,1/10/2010,45829.02
Las Vegas,Clothing,1/10/2010,20094.19
Las Vegas,Jewelry,1/10/2010,34912.45
Los Angeles,Clothing,1/10/2010,27023.35
Los Angeles,Jewelry,1/10/2010,44705.44
Los Angeles,Electronics,1/10/2010,29935.83
Los Angeles,Housewares,1/10/2010,66423.44
Los Angeles,Outdoor,1/10/2010,6989.57
Los Angeles,Shoes,1/10/2010,27350.84
Los Angeles,Toys,1/10/2010,58821.79
Los Angeles,Furniture,1/10/2010,12390.87
Seattle,Electronics,1/10/2010,41979.23
Seattle,Toys,1/10/2010,65810.71
Seattle,Clothing,1/10/2010,36486.28
Seattle,Furniture,1/10/2010,12496.55
Seattle,Outdoor,1/10/2010,6388.4
Seattle,Jewelry,1/10/2010,54800.74
Seattle,Shoes,1/10/2010,32910.99
Seattle,Housewares,1/10/2010,88537.23
Buffalo,Toys,2/4/2010,8829.82
Buffalo,Housewares,2/4/2010,15830.95
Buffalo,Jewelry,2/4/2010,8313.44
Buffalo,Furniture,2/4/2010,3288.31
Buffalo,Clothing,2/4/2010,16399.01
Buffalo,Outdoor,2/4/2010,2286.38
Buffalo,Shoes,2/4/2010,7016.69
Buffalo,Electronics,2/4/2010,10113.4
Las Vegas,Toys,2/4/2010,38151.58
Las Vegas,Clothing,2/4/2010,57258.43
Las Vegas,Outdoor,2/4/2010,4132.61
Las Vegas,Furniture,2/4/2010,11157.08
Las Vegas,Jewelry,2/4/2010,37809.49
Las Vegas,Housewares,2/4/2010,47450.5
Las Vegas,Electronics,2/4/2010,29967.92
Las Vegas,Shoes,2/4/2010,22427.62
Los Angeles,Clothing,2/4/2010,82766.07
Los Angeles,Outdoor,2/4/2010,6375.83
Los Angeles,Housewares,2/4/2010,68286.2
Los Angeles,Toys,2/4/2010,63316.38
Los Angeles,Shoes,2/4/2010,40111.71
Los Angeles,Jewelry,2/4/2010,47951.76
Los Angeles,Furniture,2/4/2010,13404.23
Los Angeles,Electronics,2/4/2010,41053.17
Seattle,Electronics,2/4/2010,54214.39
Seattle,Jewelry,2/4/2010,56959.52
Seattle,Housewares,2/4/2010,83927.41
Seattle,Toys,2/4/2010,67998.34
Seattle,Clothing,2/4/2010,75535.18
Seattle,Outdoor,2/4/2010,6694.35
Seattle,Furniture,2/4/2010,11626.88
Seattle,Shoes,2/4/2010,40504.47
Buffalo,Outdoor,2/7/2010,1578.43
Buffalo,Clothing,2/7/2010,4238.56
Buffalo,Toys,2/7/2010,8682.73
Buffalo,Furniture,2/7/2010,2645.63
Buffalo,Jewelry,2/7/2010,8163.02
Buffalo,Electronics,2/7/2010,7290.93
Buffalo,Shoes,2/7/2010,8757.26
Buffalo,Housewares,2/7/2010,16314.65
Las Vegas,Outdoor,2/7/2010,4541.91
Las Vegas,Electronics,2/7/2010,18887.71
Las Vegas,Jewelry,2/7/2010,39773.71
Las Vegas,Housewares,2/7/2010,47077.72
Las Vegas,Shoes,2/7/2010,22589
Las Vegas,Toys,2/7/2010,35580.01
Las Vegas,Furniture,2/7/2010,7857.88
Las Vegas,Clothing,2/7/2010,16333.14
Los Angeles,Toys,2/7/2010,61018.69
Los Angeles,Outdoor,2/7/2010,7216.63
Los Angeles,Housewares,2/7/2010,72107.47
Los Angeles,Jewelry,2/7/2010,49043.02
Los Angeles,Electronics,2/7/2010,25343.84
Los Angeles,Furniture,2/7/2010,11663.03
Los Angeles,Shoes,2/7/2010,34611.91
Los Angeles,Clothing,2/7/2010,23803.34
Seattle,Shoes,2/7/2010,49861.13
Seattle,Outdoor,2/7/2010,7340.66
Seattle,Jewelry,2/7/2010,56869.52
Seattle,Housewares,2/7/2010,86804.99
Seattle,Electronics,2/7/2010,40201.28
Seattle,Clothing,2/7/2010,27310.36
Seattle,Furniture,2/7/2010,9791.98
Seattle,Toys,2/7/2010,64472.21
Buffalo,Shoes,2/19/2010,8767.34
Buffalo,Clothing,2/19/2010,8918.31
Buffalo,Housewares,2/19/2010,15676.11
Buffalo,Toys,2/19/2010,9049.87
Buffalo,Outdoor,2/19/2010,2767.05
Buffalo,Jewelry,2/19/2010,7824.13
Buffalo,Electronics,2/19/2010,12577.82
Buffalo,Furniture,2/19/2010,4461.75
Las Vegas,Housewares,2/19/2010,47928.89
Las Vegas,Toys,2/19/2010,38717.6
Las Vegas,Jewelry,2/19/2010,36826.95
Las Vegas,Clothing,2/19/2010,41595.55
Las Vegas,Outdoor,2/19/2010,6060.26
Las Vegas,Electronics,2/19/2010,26468.27
Las Vegas,Furniture,2/19/2010,11523.47
Las Vegas,Shoes,2/19/2010,19985.2
Los Angeles,Toys,2/19/2010,66589.27
Los Angeles,Jewelry,2/19/2010,46131.14
Los Angeles,Clothing,2/19/2010,58221.52
Los Angeles,Furniture,2/19/2010,14607.28
Los Angeles,Electronics,2/19/2010,31620.12
Los Angeles,Outdoor,2/19/2010,10592.63
Los Angeles,Shoes,2/19/2010,31003.4
Los Angeles,Housewares,2/19/2010,70853.58
Seattle,Shoes,2/19/2010,35309.25
Seattle,Jewelry,2/19/2010,53939.17
Seattle,Electronics,2/19/2010,45376.6
Seattle,Furniture,2/19/2010,15062.54
Seattle,Housewares,2/19/2010,86570.21
Seattle,Outdoor,2/19/2010,7730.32
Seattle,Clothing,2/19/2010,49937.09
Seattle,Toys,2/19/2010,67007.65
Buffalo,Clothing,2/26/2010,4992
Buffalo,Shoes,2/26/2010,8826.12
Buffalo,Jewelry,2/26/2010,8012.43
Buffalo,Housewares,2/26/2010,15112.23
Buffalo,Electronics,2/26/2010,9913.15
Buffalo,Outdoor,2/26/2010,2289.72
Buffalo,Toys,2/26/2010,8971.63
Buffalo,Furniture,2/26/2010,4807.77
Las Vegas,Clothing,2/26/2010,19403.54
Las Vegas,Outdoor,2/26/2010,5244.56
Las Vegas,Toys,2/26/2010,35318.2
Las Vegas,Housewares,2/26/2010,44292.87
Las Vegas,Jewelry,2/26/2010,34660.16
Las Vegas,Electronics,2/26/2010,24101.89
Las Vegas,Furniture,2/26/2010,11135.17
Las Vegas,Shoes,2/26/2010,17224.22
Los Angeles,Furniture,2/26/2010,15635.95
Los Angeles,Jewelry,2/26/2010,42126.71
Los Angeles,Electronics,2/26/2010,26394.97
Los Angeles,Clothing,2/26/2010,25962.32
Los Angeles,Toys,2/26/2010,61875.48
Los Angeles,Shoes,2/26/2010,24275.91
Los Angeles,Outdoor,2/26/2010,8273.51
Los Angeles,Housewares,2/26/2010,64963.9
Seattle,Furniture,2/26/2010,14490.06
Seattle,Housewares,2/26/2010,84405.45
Seattle,Toys,2/26/2010,66705.03
Seattle,Clothing,2/26/2010,30107.54
Seattle,Outdoor,2/26/2010,10871.94
Seattle,Shoes,2/26/2010,33186.53
Seattle,Electronics,2/26/2010,37590.77
Seattle,Jewelry,2/26/2010,54687.08
Buffalo,Housewares,3/9/2010,15961.1
Buffalo,Clothing,3/9/2010,4923.61
Buffalo,Jewelry,3/9/2010,8464.83
Buffalo,Electronics,3/9/2010,4862.58
Buffalo,Furniture,3/9/2010,5942.43
Buffalo,Shoes,3/9/2010,6880.83
Buffalo,Outdoor,3/9/2010,1523.08
Buffalo,Toys,3/9/2010,8722.49
Las Vegas,Housewares,3/9/2010,49015.05
Las Vegas,Shoes,3/9/2010,18005.65
Las Vegas,Furniture,3/9/2010,19081.8
Las Vegas,Toys,3/9/2010,35562.68
Las Vegas,Outdoor,3/9/2010,3553.75
Las Vegas,Electronics,3/9/2010,15390.52
Las Vegas,Jewelry,3/9/2010,38321.88
Las Vegas,Clothing,3/9/2010,16241.78
Los Angeles,Electronics,3/9/2010,23507.43
Los Angeles,Clothing,3/9/2010,23901.32
Los Angeles,Housewares,3/9/2010,70081.13
Los Angeles,Jewelry,3/9/2010,48202.94
Los Angeles,Shoes,3/9/2010,27545.9
Los Angeles,Toys,3/9/2010,58793.43
Los Angeles,Furniture,3/9/2010,27296.57
Los Angeles,Outdoor,3/9/2010,5343.92
Seattle,Electronics,3/9/2010,31085.72
