,Store,Dept,Date,Weekly_Sales,IsHoliday
1178,Los Angeles,Clothing,2010-01-10,27023.35,False
1607,Los Angeles,Jewelry,2010-01-10,44705.44,False
4038,Seattle,Electronics,2010-01-10,41979.23,False
2894,Buffalo,Electronics,2010-01-10,7001.48,False
1750,Los Angeles,Electronics,2010-01-10,29935.83,False
4467,Seattle,Toys,2010-01-10,65810.71,False
3466,Seattle,Clothing,2010-01-10,36486.28,False
2608,Buffalo,Furniture,2010-01-10,3233.79,False
1321,Los Angeles,Housewares,2010-01-10,66423.44,False
3752,Seattle,Furniture,2010-01-10,12496.55,False
3323,Buffalo,Toys,2010-01-10,8147.53,False
1893,Los Angeles,Outdoor,2010-01-10,6989.57,False
892,Las Vegas,Shoes,2010-01-10,16481.79,False
2465,Buffalo,Housewares,2010-01-10,14214.86,False
2036,Los Angeles,Shoes,2010-01-10,27350.84,False
606,Las Vegas,Electronics,2010-01-10,23381.38,False
749,Las Vegas,Outdoor,2010-01-10,2876.19,False
4181,Seattle,Outdoor,2010-01-10,6388.4,False
1035,Las Vegas,Toys,2010-01-10,34658.25,False
3180,Buffalo,Shoes,2010-01-10,6134.59,False
320,Las Vegas,Furniture,2010-01-10,9775.17,False
3895,Seattle,Jewelry,2010-01-10,54800.74,False
2179,Los Angeles,Toys,2010-01-10,58821.79,False
177,Las Vegas,Housewares,2010-01-10,45829.02,False
2322,Buffalo,Clothing,2010-01-10,5617.26,False
4324,Seattle,Shoes,2010-01-10,32910.99,False
34,Las Vegas,Clothing,2010-01-10,20094.19,False
3037,Buffalo,Outdoor,2010-01-10,2530.38,False
463,Las Vegas,Jewelry,2010-01-10,34912.45,False
3609,Seattle,Housewares,2010-01-10,88537.23,False
1464,Los Angeles,Furniture,2010-01-10,12390.87,False
2751,Buffalo,Jewelry,2010-01-10,6947.26,False
4012,Seattle,Electronics,2010-02-04,54214.39,False
1009,Las Vegas,Toys,2010-02-04,38151.58,False
3869,Seattle,Jewelry,2010-02-04,56959.52,False
8,Las Vegas,Clothing,2010-02-04,57258.43,False
1152,Los Angeles,Clothing,2010-02-04,82766.07,False
723,Las Vegas,Outdoor,2010-02-04,4132.61,False
3583,Seattle,Housewares,2010-02-04,83927.41,False
294,Las Vegas,Furniture,2010-02-04,11157.08,False
3297,Buffalo,Toys,2010-02-04,8829.82,False
1867,Los Angeles,Outdoor,2010-02-04,6375.83,False
4441,Seattle,Toys,2010-02-04,67998.34,False
1295,Los Angeles,Housewares,2010-02-04,68286.2,False
3440,Seattle,Clothing,2010-02-04,75535.18,False
437,Las Vegas,Jewelry,2010-02-04,37809.49,False
4155,Seattle,Outdoor,2010-02-04,6694.35,False
2439,Buffalo,Housewares,2010-02-04,15830.95,False
2153,Los Angeles,Toys,2010-02-04,63316.38,False
2725,Buffalo,Jewelry,2010-02-04,8313.44,False
2582,Buffalo,Furniture,2010-02-04,3288.31,False
2296,Buffalo,Clothing,2010-02-04,16399.01,False
2010,Los Angeles,Shoes,2010-02-04,40111.71,False
1581,Los Angeles,Jewelry,2010-02-04,47951.76,False
1438,Los Angeles,Furniture,2010-02-04,13404.23,False
151,Las Vegas,Housewares,2010-02-04,47450.5,False
3011,Buffalo,Outdoor,2010-02-04,2286.38,False
3154,Buffalo,Shoes,2010-02-04,7016.69,False
580,Las Vegas,Electronics,2010-02-04,29967.92,False
2868,Buffalo,Electronics,2010-02-04,10113.4,False
866,Las Vegas,Shoes,2010-02-04,22427.62,False
3726,Seattle,Furniture,2010-02-04,11626.88,False
1724,Los Angeles,Electronics,2010-02-04,41053.17,False
4298,Seattle,Shoes,2010-02-04,40504.47,False
3024,Buffalo,Outdoor,2010-02-07,1578.43,False
4311,Seattle,Shoes,2010-02-07,49861.13,False
2309,Buffalo,Clothing,2010-02-07,4238.56,False
3310,Buffalo,Toys,2010-02-07,8682.73,False
4168,Seattle,Outdoor,2010-02-07,7340.66,False
736,Las Vegas,Outdoor,2010-02-07,4541.91,False
3882,Seattle,Jewelry,2010-02-07,56869.52,False
593,Las Vegas,Electronics,2010-02-07,18887.71,False
450,Las Vegas,Jewelry,2010-02-07,39773.71,False
2166,Los Angeles,Toys,2010-02-07,61018.69,False
1880,Los Angeles,Outdoor,2010-02-07,7216.63,False
2595,Buffalo,Furniture,2010-02-07,2645.63,False
1308,Los Angeles,Housewares,2010-02-07,72107.47,False
164,Las Vegas,Housewares,2010-02-07,47077.72,False
879,Las Vegas,Shoes,2010-02-07,22589.0,False
1594,Los Angeles,Jewelry,2010-02-07,49043.02,False
3596,Seattle,Housewares,2010-02-07,86804.99,False
2738,Buffalo,Jewelry,2010-02-07,8163.02,False
1022,Las Vegas,Toys,2010-02-07,35580.01,False
2881,Buffalo,Electronics,2010-02-07,7290.93,False
3167,Buffalo,Shoes,2010-02-07,8757.26,False
1737,Los Angeles,Electronics,2010-02-07,25343.84,False
1451,Los Angeles,Furniture,2010-02-07,11663.03,False
2023,Los Angeles,Shoes,2010-02-07,34611.91,False
4025,Seattle,Electronics,2010-02-07,40201.28,False
2452,Buffalo,Housewares,2010-02-07,16314.65,False
3453,Seattle,Clothing,2010-02-07,27310.36,False
3739,Seattle,Furniture,2010-02-07,9791.98,False
1165,Los Angeles,Clothing,2010-02-07,23803.34,False
307,Las Vegas,Furniture,2010-02-07,7857.88,False
21,Las Vegas,Clothing,2010-02-07,16333.14,False
4454,Seattle,Toys,2010-02-07,64472.21,False
145,Las Vegas,Housewares,2010-02-19,47928.89,False
1003,Las Vegas,Toys,2010-02-19,38717.6,False
3148,Buffalo,Shoes,2010-02-19,8767.34,False
4292,Seattle,Shoes,2010-02-19,35309.25,False
431,Las Vegas,Jewelry,2010-02-19,36826.95,False
2290,Buffalo,Clothing,2010-02-19,8918.31,False
2147,Los Angeles,Toys,2010-02-19,66589.27,False
2,Las Vegas,Clothing,2010-02-19,41595.55,False
717,Las Vegas,Outdoor,2010-02-19,6060.26,False
2433,Buffalo,Housewares,2010-02-19,15676.11,False
3291,Buffalo,Toys,2010-02-19,9049.87,False
1575,Los Angeles,Jewelry,2010-02-19,46131.14,False
1146,Los Angeles,Clothing,2010-02-19,58221.52,False
3005,Buffalo,Outdoor,2010-02-19,2767.05,False
3863,Seattle,Jewelry,2010-02-19,53939.17,False
4006,Seattle,Electronics,2010-02-19,45376.6,False
1432,Los Angeles,Furniture,2010-02-19,14607.28,False
3720,Seattle,Furniture,2010-02-19,15062.54,False
1718,Los Angeles,Electronics,2010-02-19,31620.12,False
3577,Seattle,Housewares,2010-02-19,86570.21,False
1861,Los Angeles,Outdoor,2010-02-19,10592.63,False
2719,Buffalo,Jewelry,2010-02-19,7824.13,False
4149,Seattle,Outdoor,2010-02-19,7730.32,False
3434,Seattle,Clothing,2010-02-19,49937.09,False
2862,Buffalo,Electronics,2010-02-19,12577.82,False
574,Las Vegas,Electronics,2010-02-19,26468.27,False
288,Las Vegas,Furniture,2010-02-19,11523.47,False
2004,Los Angeles,Shoes,2010-02-19,31003.4,False
4435,Seattle,Toys,2010-02-19,67007.65,False
860,Las Vegas,Shoes,2010-02-19,19985.2,False
1289,Los Angeles,Housewares,2010-02-19,70853.58,False
2576,Buffalo,Furniture,2010-02-19,4461.75,False
2291,Buffalo,Clothing,2010-02-26,4992.0,False
3149,Buffalo,Shoes,2010-02-26,8826.12,False
3721,Seattle,Furniture,2010-02-26,14490.06,False
3,Las Vegas,Clothing,2010-02-26,19403.54,False
1433,Los Angeles,Furniture,2010-02-26,15635.95,False
2720,Buffalo,Jewelry,2010-02-26,8012.43,False
1576,Los Angeles,Jewelry,2010-02-26,42126.71,False
2434,Buffalo,Housewares,2010-02-26,15112.23,False
1719,Los Angeles,Electronics,2010-02-26,26394.97,False
3578,Seattle,Housewares,2010-02-26,84405.45,False
718,Las Vegas,Outdoor,2010-02-26,5244.56,False
1147,Los Angeles,Clothing,2010-02-26,25962.32,False
2148,Los Angeles,Toys,2010-02-26,61875.48,False
2863,Buffalo,Electronics,2010-02-26,9913.15,False
1004,Las Vegas,Toys,2010-02-26,35318.2,False
4436,Seattle,Toys,2010-02-26,66705.03,False
146,Las Vegas,Housewares,2010-02-26,44292.87,False
2005,Los Angeles,Shoes,2010-02-26,24275.91,False
432,Las Vegas,Jewelry,2010-02-26,34660.16,False
575,Las Vegas,Electronics,2010-02-26,24101.89,False
3435,Seattle,Clothing,2010-02-26,30107.54,False
1862,Los Angeles,Outdoor,2010-02-26,8273.51,False
4150,Seattle,Outdoor,2010-02-26,10871.94,False
4293,Seattle,Shoes,2010-02-26,33186.53,False
289,Las Vegas,Furniture,2010-02-26,11135.17,False
3006,Buffalo,Outdoor,2010-02-26,2289.72,False
3292,Buffalo,Toys,2010-02-26,8971.63,False
4007,Seattle,Electronics,2010-02-26,37590.77,False
3864,Seattle,Jewelry,2010-02-26,54687.08,False
2577,Buffalo,Furniture,2010-02-26,4807.77,False
861,Las Vegas,Shoes,2010-02-26,17224.22,False
1290,Los Angeles,Housewares,2010-02-26,64963.9,False
2461,Buffalo,Housewares,2010-03-09,15961.1,False
173,Las Vegas,Housewares,2010-03-09,49015.05,False
2318,Buffalo,Clothing,2010-03-09,4923.61,False
2747,Buffalo,Jewelry,2010-03-09,8464.83,False
888,Las Vegas,Shoes,2010-03-09,18005.65,False
4034,Seattle,Electronics,2010-03-09,31085.72,False
4177,Seattle,Outdoor,2010-03-09,7450.07,False
2890,Buffalo,Electronics,2010-03-09,4862.58,False
2604,Buffalo,Furniture,2010-03-09,5942.43,False
316,Las Vegas,Furniture,2010-03-09,19081.8,False
1031,Las Vegas,Toys,2010-03-09,35562.68,False
745,Las Vegas,Outdoor,2010-03-09,3553.75,False
1746,Los Angeles,Electronics,2010-03-09,23507.43,False
3462,Seattle,Clothing,2010-03-09,34713.96,False
1174,Los Angeles,Clothing,2010-03-09,23901.32,False
1317,Los Angeles,Housewares,2010-03-09,70081.13,False
3748,Seattle,Furniture,2010-03-09,20452.49,False
3176,Buffalo,Shoes,2010-03-09,6880.83,False
3033,Buffalo,Outdoor,2010-03-09,1523.08,False
4463,Seattle,Toys,2010-03-09,65257.74,False
1603,Los Angeles,Jewelry,2010-03-09,48202.94,False
2032,Los Angeles,Shoes,2010-03-09,27545.9,False
3891,Seattle,Jewelry,2010-03-09,59177.53,False
4320,Seattle,Shoes,2010-03-09,37396.86,False
2175,Los Angeles,Toys,2010-03-09,58793.43,False
1460,Los Angeles,Furniture,2010-03-09,27296.57,False
602,Las Vegas,Electronics,2010-03-09,15390.52,False
3605,Seattle,Housewares,2010-03-09,93677.66,False
1889,Los Angeles,Outdoor,2010-03-09,5343.92,False
